551;fuel_silo;1637.00;11.05;1042.00;3.95;0
551;synthetic_refinery;1637.00;11.05;1042.00;3.95;0
551;anti_air_building;1637.00;11.05;1042.00;3.95;0
551;dockyard;1649.00;9.98;1012.00;-3.52;0
551;coastal_bunker;1649.00;9.98;1012.00;-3.52;0
551;bunker;1637.00;11.05;1042.00;3.95;0
551;supply_node;1669.00;11.75;1037.00;2.54;0
551;air_base;1637.00;11.05;1042.00;3.95;0
551;industrial_complex;1637.00;11.05;1042.00;3.95;0
551;arms_factory;1637.00;11.05;1042.00;3.95;0
1;arms_factory;1949.00;9.95;2046.00;3.59;0
1;arms_factory;1950.00;9.95;2046.00;6.25;0
1;arms_factory;1951.00;9.95;2046.00;2.64;0
1;arms_factory;1950.00;9.95;2046.00;5.65;0
1;arms_factory;1946.00;9.95;2046.00;2.04;0
1;arms_factory;1949.00;9.95;2046.00;4.70;0
1;industrial_complex;1946.00;9.95;2046.00;2.54;0
1;industrial_complex;1947.00;9.95;2046.00;4.10;0
1;industrial_complex;1951.00;9.95;2046.00;0.48;0
1;industrial_complex;1948.00;9.95;2046.00;3.15;0
1;industrial_complex;1951.00;9.95;2046.00;6.16;0
1;industrial_complex;1946.00;9.95;2046.00;1.09;0
1;air_base;1950.00;9.95;2046.00;5.21;0
1;supply_node;1943.00;9.50;2046.00;2.31;0
1;bunker;1948.00;9.95;2046.00;3.15;0
1;coastal_bunker;1937.00;9.50;2046.00;-1.57;0
1;dockyard;1948.00;9.50;2045.00;-1.57;0
1;anti_air_building;1949.00;9.95;2046.00;1.60;0
1;anti_air_building;1951.00;9.95;2046.00;5.72;0
1;anti_air_building;1948.00;9.95;2046.00;0.65;0
1;synthetic_refinery;1951.00;9.95;2046.00;4.77;0
1;fuel_silo;1946.00;9.95;2046.00;0.04;0
1;radar_station;1941.00;9.50;2046.00;4.02;0
1;floating_harbor;1954.00;9.50;2037.00;-2.18;9764
2;arms_factory;2125.00;10.05;2033.00;2.64;0
2;arms_factory;2108.00;10.03;2039.00;5.65;0
2;arms_factory;2112.00;10.10;2038.00;2.04;0
2;arms_factory;2112.00;10.10;2038.00;4.70;0
2;arms_factory;2126.00;10.68;2045.00;2.54;0
2;arms_factory;2127.00;10.60;2044.00;4.10;0
2;industrial_complex;2128.00;10.60;2044.00;0.48;0
2;industrial_complex;2115.00;10.40;2042.00;3.15;0
2;industrial_complex;2115.00;10.40;2042.00;6.16;0
2;industrial_complex;2123.00;10.55;2041.00;1.09;0
2;industrial_complex;2127.00;10.10;2034.00;5.21;0
2;industrial_complex;2127.00;10.10;2034.00;1.59;0
2;air_base;2119.00;10.07;2034.00;3.15;0
2;supply_node;2111.00;10.10;2039.00;1.55;0
2;supply_node;2122.00;10.15;2035.00;4.48;0
2;supply_node;2116.00;10.45;2044.00;1.13;0
2;supply_node;2127.00;10.60;2044.00;3.71;0
2;supply_node;2131.00;10.05;2031.00;0.37;0
2;bunker;2125.00;10.65;2045.00;0.65;0
2;bunker;2115.00;10.35;2043.00;4.77;0
2;bunker;2130.00;10.12;2032.00;0.04;0
2;bunker;2112.00;10.00;2036.00;4.17;0
2;bunker;2117.00;10.05;2034.00;5.37;0
2;coastal_bunker;2109.00;9.50;2035.00;-1.89;0
2;coastal_bunker;2128.00;9.73;2030.00;0.00;0
2;coastal_bunker;2123.00;9.50;2031.00;-0.24;0
2;coastal_bunker;2107.00;9.50;2047.00;-1.89;0
2;dockyard;2120.00;9.50;2031.00;-0.24;0
2;anti_air_building;2131.00;10.70;2045.00;5.88;0
2;anti_air_building;2131.00;10.70;2045.00;3.73;0
2;anti_air_building;2121.00;10.60;2043.00;3.83;0
2;synthetic_refinery;2114.00;10.25;2043.00;1.67;0
2;fuel_silo;2114.00;10.25;2043.00;4.33;0
2;radar_station;2122.00;10.43;2038.00;2.73;0
2;floating_harbor;2101.36;9.50;2042.21;1.25;418
2;floating_harbor;2119.30;9.50;2024.21;-3.39;2568
2;floating_harbor;2097.00;9.50;2039.00;-4.04;5738
2;floating_harbor;2131.00;9.50;2022.00;-3.14;5773
3;arms_factory;1875.00;10.12;2031.00;2.04;0
3;arms_factory;1916.00;10.05;2043.00;4.70;0
3;arms_factory;1908.00;10.20;2035.00;2.54;0
3;arms_factory;1876.00;10.10;2012.00;4.10;0
3;arms_factory;1875.00;10.10;2024.00;0.48;0
3;arms_factory;1881.00;10.18;2031.00;3.15;0
3;industrial_complex;1890.00;10.20;2025.00;6.16;0
3;industrial_complex;1896.00;10.18;2028.00;1.09;0
3;industrial_complex;1913.00;10.20;2040.00;5.21;0
3;industrial_complex;1873.00;10.03;2017.00;1.59;0
3;industrial_complex;1912.00;10.15;2035.00;3.15;0
3;industrial_complex;1893.00;10.10;2032.00;0.99;0
3;air_base;1924.00;10.00;2036.00;3.66;0
3;supply_node;1870.00;9.68;2020.00;1.13;0
3;supply_node;1913.00;10.20;2042.00;3.71;0
3;supply_node;1872.00;10.12;2029.00;0.37;0
3;supply_node;1888.00;10.20;2030.00;1.85;0
3;supply_node;1903.00;10.10;2032.00;5.89;0
3;supply_node;1915.00;10.03;2033.00;2.54;0
3;supply_node;1883.00;10.10;2014.00;4.02;0
3;supply_node;1895.00;10.10;2022.00;1.78;0
3;supply_node;1902.00;10.03;2041.00;3.25;0
3;supply_node;1881.00;10.10;2036.00;6.19;0
3;supply_node;1923.00;10.00;2037.00;2.49;0
