2;1412.94;12.80;1933.61;big
2;1070.82;11.50;1714.95;big
2;1128.93;11.20;1738.95;big
2;1017.78;10.40;1719.71;big
2;1005.24;11.20;1781.45;big
2;970.40;10.20;1877.95;big
2;915.25;10.40;1960.75;big
2;986.53;11.50;1962.81;big
2;939.72;11.60;2015.72;big
2;858.78;11.20;2026.44;big
2;677.28;10.70;2042.74;big
2;1889.93;10.40;2027.87;big
2;2070.60;10.50;1989.32;big
2;2152.85;10.50;1967.89;big
2;2243.23;11.00;2017.17;big
2;2218.07;10.70;2035.43;big
2;2186.84;10.50;2006.28;big
2;2160.33;10.70;2037.82;big
2;2332.95;10.40;2039.90;big
2;2277.70;11.60;2041.77;big
2;2345.98;10.20;2014.61;big
2;1788.12;10.70;2033.70;big
2;1817.32;10.90;1991.79;big
2;1780.73;10.60;1906.24;big
2;1747.22;10.60;1840.13;big
2;1604.97;10.00;1818.64;big
2;1486.40;12.70;1782.53;big
2;1365.17;11.80;1782.52;big
2;1230.01;10.50;1753.38;big
2;1265.00;10.12;1866.00;big
2;1090.83;10.90;1779.11;big
2;1051.09;12.80;1842.68;big
2;1088.94;11.70;1959.88;big
2;1265.00;10.12;1866.00;big
2;1033.45;13.80;2025.27;big
2;1143.88;12.20;1816.48;big
2;1278.65;10.40;1833.69;big
2;1384.66;10.00;1848.45;big
2;1479.85;12.40;1855.35;big
2;1548.70;12.20;1947.04;big
2;1657.19;10.60;1961.46;big
2;1438.10;13.30;1962.02;big
2;1347.59;11.30;1954.12;big
2;1276.73;12.20;1942.88;big
2;1704.05;12.40;1886.84;big
2;1657.37;11.30;2029.32;big
2;1592.39;12.60;2022.91;big
2;1494.58;11.10;2026.12;big
2;1389.92;11.60;2024.12;big
2;1290.86;10.10;2021.62;big
2;1223.37;11.70;2029.91;big
2;1135.90;11.70;2033.37;big
2;1180.80;10.50;1976.28;big
2;1218.21;10.10;1881.85;big
2;1612.04;10.60;1874.39;big
3;1364.31;17.20;1715.85;big
3;1295.54;12.20;1709.22;big
3;1400.28;14.00;1721.03;big
3;1454.68;12.20;1713.52;big
3;1520.83;10.10;1739.03;big
3;1581.23;10.20;1754.04;big
3;1648.00;10.25;1744.00;big
3;1627.29;10.40;1680.52;big
3;1664.21;10.40;1609.75;big
3;1773.84;10.40;1601.66;big
3;1467.38;12.90;1557.99;big
3;1648.00;10.25;1744.00;big
3;1391.30;12.90;1594.67;big
3;1239.29;11.00;1552.21;big
3;1140.56;11.10;1581.88;big
3;1090.73;10.40;1625.58;big
3;1364.29;12.10;1656.71;big
3;1543.85;11.20;1678.70;big
3;1615.77;10.40;1608.33;big
3;1557.11;11.80;1628.03;big
3;1648.00;10.25;1744.00;big
3;1590.92;10.60;1711.66;big
3;1661.25;11.50;1575.85;big
3;1482.71;12.00;1595.89;big
3;1182.48;10.60;1658.62;big
3;1252.78;11.30;1694.80;big
3;1247.08;10.70;1631.83;big
3;1415.20;13.40;1697.92;big
3;1478.67;10.90;1703.76;big
3;1470.64;14.90;1657.81;big
3;1524.77;11.50;1559.27;big
3;1598.73;10.20;1566.34;big
3;1545.39;11.20;1590.23;big
3;1710.46;11.10;1567.15;big
3;1495.34;12.70;1628.17;big
3;1598.25;12.30;1647.63;big
3;1420.60;10.70;1615.74;big
3;1403.69;12.70;1664.27;big
3;1405.44;10.10;1553.27;big
4;1628.37;11.20;1540.31;big
4;1351.90;11.10;1396.80;big
4;1867.66;10.50;1418.14;big
4;1359.64;10.10;1130.76;small
4;1386.30;10.60;1135.28;small
4;1675.15;12.10;1547.55;big
4;1733.14;10.40;1546.27;big
4;1542.86;11.30;1541.70;big
4;1574.07;11.20;1547.49;big
4;1471.74;10.10;1515.38;big
4;1568.25;12.70;1515.44;big
4;1650.78;12.30;1513.86;big
4;1709.32;11.30;1513.40;big
4;1771.84;10.40;1514.55;big
4;1510.06;13.70;1521.41;big
4;1895.70;10.60;1576.49;big
4;1900.24;12.70;1543.64;big
4;1928.33;10.10;1536.06;big
4;1853.03;10.40;1551.94;big
4;1892.29;10.10;1518.82;big
4;1960.20;10.20;1564.98;big
4;1844.85;10.10;1584.03;big
4;1804.43;10.10;1563.13;big
4;1449.33;10.70;1133.75;small
